name,n_sent,avg_len,num_nonunique_token,num_unique_token
./europarl-v7.cs-en/test.cs,2004,22.656187624750498,45403,12149
./europarl-v7.cs-en/test.en,2004,24.295409181636728,48688,6943
./europarl-v7.cs-en/train.cs,610838,23.27387949014305,14216570,168860
./europarl-v7.cs-en/train.en,610838,27.00675138088986,16496750,62045
./europarl-v7.cs-en/valid.cs,27765,23.384476859355303,649270,43843
./europarl-v7.cs-en/valid.en,27765,27.09285071132721,752233,18988
./europarl-v7.de-en/test.de,2098,25.09342230695901,52646,9963
./europarl-v7.de-en/test.en,2098,24.36606291706387,51120,7195
./europarl-v7.de-en/train.de,1802830,26.55338661992534,47871242,369920
./europarl-v7.de-en/train.en,1802830,27.843192092432453,50196542,112907
./europarl-v7.de-en/valid.de,81946,26.492006931393846,2170914,73998
./europarl-v7.de-en/valid.en,81946,27.781685500207455,2276598,32159
./europarl-v7.fr-en/test.en,2093,24.372670807453417,51012,7184
./europarl-v7.fr-en/test.fr,2093,29.253225035833733,61227,8255
./europarl-v7.fr-en/train.en,1894705,27.88606405746541,52835865,115018
./europarl-v7.fr-en/train.fr,1894705,30.90588191829335,58557529,136741
./europarl-v7.fr-en/valid.en,86122,27.86939457978217,2400168,32827
./europarl-v7.fr-en/valid.fr,86122,30.87945008244119,2659400,41979
./iwslt14.de-en/test.de,6750,18.630222222222223,125754,13783
./iwslt14.de-en/test.en,6750,19.430518518518518,131156,9403
./iwslt14.de-en/train.de,160239,19.350595048646085,3100720,113539
./iwslt14.de-en/train.en,160239,20.442769862517864,3275729,53327
./iwslt14.de-en/valid.de,7283,19.2823012494851,140433,17718
./iwslt14.de-en/valid.en,7283,20.352190031580392,148225,12400
./iwslt15.en-vi/test.en,7446,19.901826484018265,148189,11106
./iwslt15.en-vi/test.vi,7446,24.59051839914048,183101,5528
./iwslt15.en-vi/train.en,111966,20.795687976707214,2328410,49179
./iwslt15.en-vi/train.vi,111966,24.48435239269064,2741415,24110
./iwslt15.en-vi/valid.en,5089,21.096679111809785,107361,11001
./iwslt15.en-vi/valid.vi,5089,24.832580074670858,126373,5804
./iwslt16.en-fr/test.en,6824,19.722157092614303,134584,10022
./iwslt16.en-fr/test.fr,6824,21.09510550996483,143953,12501
./iwslt16.en-fr/train.en,208767,20.84383068205224,4351504,60567
./iwslt16.en-fr/train.fr,208767,22.143825413020256,4622900,77951
./iwslt16.en-fr/valid.en,9489,20.607018653177363,195540,14671
./iwslt16.en-fr/valid.fr,9489,21.88502476551797,207667,18044
