epoch,loss,bleu
001,8.454,2.48
002,7.109,6.78
003,6.212,11.67
004,5.714,15.32
005,5.314,19.78
006,5.112,21.63
007,4.915,23.9
008,4.795,25.15
009,4.679,26.53
010,4.596,27.48
011,4.528,27.79
012,4.496,28.05
013,4.428,29.25
014,4.393,29.31
015,4.378,30
016,4.33,30.6
017,4.308,31.04
018,4.277,31.27
019,4.265,31.01
020,4.242,31.57
021,4.221,31.66
022,4.214,32.03
023,4.184,32.29
024,4.18,32.48
025,4.16,32.69
026,4.169,32.55
027,4.142,33.13
028,4.134,32.86
029,4.12,32.92
030,4.118,33.24
031,4.105,33.4
032,4.094,33.7
033,4.087,33.79
034,4.089,33.21
035,4.081,33.36
036,4.072,33.78
037,4.07,33.68
038,4.051,34.11
039,4.074,33.35
040,4.058,33.79
041,4.041,34.25
042,4.035,34.48
043,4.026,34.29
044,4.027,34.45
045,4.02,34.42
046,4.015,34.6
047,4.012,34.64
048,4.005,34.65
049,4.011,34.43
050,4.006,34.48
051,3.996,34.85
052,3.988,34.93
053,3.99,34.77
054,3.993,34.67
055,3.987,35.06
056,3.976,35.05
057,3.977,35.15
058,3.98,34.93
059,3.988,34.64
060,3.972,35.08
